Data,Sensitive
John Doe's phone number is 123-456-7890,1
Mary Johnson's email is mary@example.com,1
Company XYZ's sales report for Q3 2023,0
Credit card number: 1234 5678 9101 1121,1
Product ABC's confidential design specs,0
Meeting agenda for project Alpha,0
Sarah Smith's home address: 123 Main St.,1
Confidential contract details,0
User login credentials,1
Legal document: Case No. 12345,1
Lorem ipsum dolor sit amet,0
12345 is a bad password,1
The key to success is not giving up,0
Social Security Number: 987-65-4321,1
Recipe for a delicious apple pie,0
Private diary entry dated Jan 12,1
Customer satisfaction survey results,0
Medical record: Patient ID 67890,1
Proposal for new company policies,0
Financial forecast for the next quarter,0
John Doe's phone number is 123-456-7890,1
Mary Johnson's email is mary@example.com,1
Company XYZ's sales report for Q3 2023,0
Credit card number: 1234 5678 9101 1121,1
Product ABC's confidential design specs,0
Meeting agenda for project Alpha,0
Sarah Smith's home address: 123 Main St.,1
Confidential contract details,0
User login credentials,1
Legal document: Case No. 12345,1
Lorem ipsum dolor sit amet,0
12345 is a bad password,1
The key to success is not giving up,0
Social Security Number: 987-65-4321,1
Recipe for a delicious apple pie,0
Private diary entry dated Jan 12,1
Customer satisfaction survey results,0
Medical record: Patient ID 67890,1
Proposal for new company policies,0
Financial forecast for the next quarter,0
John Doe's phone number is 123-456-7890,1
Mary Johnson's email is mary@example.com,1
Company XYZ's sales report for Q3 2023,0
Credit card number: 1234 5678 9101 1121,1
Product ABC's confidential design specs,0
Meeting agenda for project Alpha,0
Sarah Smith's home address: 123 Main St.,1
Confidential contract details,0
User login credentials,1
Legal document: Case No. 12345,1
Lorem ipsum dolor sit amet,0
12345 is a bad password,1
The key to success is not giving up,0
Social Security Number: 987-65-4321,1
Recipe for a delicious apple pie,0
Private diary entry dated Jan 12,0
Customer satisfaction survey results,0
Medical record: Patient ID 67890,1
Proposal for new company policies,0
Financial forecast for the next quarter,0
John Doe's phone number is 123-456-7890,1
Mary Johnson's email is mary@example.com,1
Company XYZ's sales report for Q3 2023,0
Credit card number: 1234 5678 9101 1121,1
Product ABC's confidential design specs,0
Meeting agenda for project Alpha,0
Sarah Smith's home address: 123 Main St.,1
Confidential contract details,0
User login credentials,1
Legal document: Case No. 12345,1
Lorem ipsum dolor sit amet,0
12345 is a bad password,1
The key to success is not giving up,0
Social Security Number: 987-65-4321,1
Recipe for a delicious apple pie,0
Private diary entry dated Jan 12,1
Customer satisfaction survey results,0
Medical record: Patient ID 67890,1
Proposal for new company policies,0
Financial forecast for the next quarter,0
note,0
